"Excellent performance by Hrithik sir in super 30 . This is one of his best performance ,movie has very good story , real life story ,direction is great. It should be blockbuster on box office . Each n every person should watch the movie it motivates you to never give up in life any thing is possible.",Positive
"A great movie by HR sir.... Tremendous work done by super30 team The great story about 30 boys ever seen , a great teacher, what a movie..!",Positive
This movie is another Salman pathetic movie. Poor acting and direction. Tubelight rests on poor plot and lacks the power to enthrall and mesmerize. I am sure it will make money and be declared as blockbuster but this is not worth watching. Only good thing about movie is to see Om Puri,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
Complete copy of Hollywood little boy. Pathetic acting n screen play. Torture for audience.Songs r average. How can someone make these kind of movie. Worst movie ever. Story line based on self believe. But after seeing these movie everyone might lose their self believe.Film is very slow nothing happens only a pathetic actor who pretending of a dumb boy always crying.,Negative
